iter	Passed	Remaining
401	15540	23116
402	15564	23057
403	15591	23001
404	15622	22952
405	15649	22896
406	15666	22826
407	15694	22772
408	15723	22720
409	15749	22664
410	15774	22605
411	15797	22545
412	15827	22495
413	15854	22441
414	15886	22394
415	15917	22346
416	15946	22294
417	15967	22232
418	15996	22181
419	16040	22150
420	16112	22159
421	16168	22145
422	16197	22094
423	16235	22056
424	16274	22017
425	16309	21975
426	16365	21961
427	16410	21932
428	16446	21890
429	16513	21889
430	16612	21931
431	16677	21928
432	16758	21944
433	16812	21925
434	16868	21910
435	16932	21902
436	16987	21885
437	17039	21862
438	17083	21830
439	17142	21817
440	17182	21780
441	17288	21825
442	17432	21918
443	17466	21872
444	17507	21835
445	17542	21790
446	17588	21759
447	17630	21722
448	17670	21684
449	17700	21633
450	17745	21601
451	17778	21554
452	17798	21492
453	17853	21471
454	17889	21427
455	17910	21367
456	17946	21324
457	17991	21291
458	18030	21251
459	18077	21221
460	18125	21192
461	18179	21169
462	18223	21136
463	18261	21094
464	18317	21074
465	18342	21019
466	18377	20974
467	18403	20920
468	18425	20861
469	18458	20814
470	18489	20766
471	18510	20706
472	18539	20655
473	18563	20599
474	18596	20554
475	18636	20515
476	18666	20467
477	18688	20408
478	18723	20365
479	18755	20318
480	18789	20273
481	18821	20227
482	18858	20186
483	18887	20136
484	18912	20082
485	18939	20030
486	18974	19987
487	18998	19932
488	19031	19888
489	19066	19844
490	19090	19790
491	19124	19746
492	19157	19701
493	19179	19645
494	19212	19600
495	19248	19558
496	19275	19508
497	19315	19470
498	19350	19428
499	19407	19407
500	19453	19376
501	19489	19334
502	19537	19304
503	19579	19269
504	19617	19229
505	19655	19189
506	19699	19155
507	19727	19105
508	19760	19061
509	19800	19023
510	19818	18964
511	19851	18921
512	19876	18869
513	19916	18831
514	19955	18792
515	20000	18760
516	20029	18712
517	20065	18671
518	20106	18634
519	20153	18603
520	20183	18556
521	20213	18509
522	20236	18456
523	20260	18404
524	20286	18354
525	20306	18299
526	20329	18246
527	20356	18197
528	20378	18144
529	20408	18097
530	20445	18058
531	20463	18001
532	20486	17949
533	20505	17894
534	20533	17847
535	20575	17811
536	20601	17762
537	20622	17709
538	20651	17663
539	20694	17628
540	20719	17578
541	20741	17527
542	20758	17470
543	20785	17422
544	20817	17379
545	20835	17324
546	20857	17272
547	20902	17240
548	20943	17205
549	20977	17163
550	21007	17118
551	21038	17074
552	21062	17025
553	21124	17005
554	21163	16968
555	21207	16935
556	21278	16923
557	21363	16922
558	21399	16882
559	21438	16844
560	21471	16802
561	21534	16783
562	21587	16756
563	21661	16745
564	21722	16724
565	21787	16706
566	21826	16668
567	21856	16623
568	21884	16576
569	21916	16533
570	21953	16494
571	21994	16457
572	22038	16422
573	22092	16396
574	22133	16359
575	22219	16355
576	22274	16329
577	22324	16299
578	22401	16288
579	22511	16301
580	22595	16294
581	22704	16306
582	22815	16319
583	22865	16287
584	22942	16275
585	22963	16223
586	23001	16183
587	23063	16160
588	23118	16131
589	23166	16098
590	23245	16087
591	23356	16096
592	23383	16048
593	23432	16016
594	23510	16002
595	23552	15965
596	23602	15932
597	23643	15893
598	23691	15860
599	23716	15810
600	23741	15761
601	23764	15711
602	23794	15665
603	23823	15619
604	23858	15577
605	23896	15536
606	23920	15486
607	23940	15435
608	23961	15384
609	23987	15336
610	24010	15286
611	24031	15235
612	24054	15186
613	24086	15142
614	24122	15100
615	24157	15059
616	24182	15011
617	24205	14961
618	24241	14921
619	24274	14877
620	24302	14831
621	24319	14779
622	24337	14727
623	24358	14677
624	24380	14628
625	24410	14583
626	24442	14540
627	24471	14495
628	24508	14455
629	24542	14413
